,Feature,Score,p-value
39,ACE8,28.981412487709,7.307613209676228e-08
117,K2Q34C,26.091064707341456,3.2568772383068e-07
62,K10Q31,25.67396061882377,4.0424495091378193e-07
8,HHCOUNT,25.622802555504755,4.151049977467139e-07
141,K2Q35A,25.17661029645166,5.231281650131021e-07
134,GENETIC,23.409157595935334,1.309536498899857e-06
85,TOTAGE_0_5,23.248871674667576,1.4233392883382823e-06
94,AGEPOS4,23.027429128966364,1.597064768344405e-06
23,K7Q32,21.782070935988514,3.054411074229452e-06
40,ACE9,19.404282225925567,1.0576963100939704e-05
2,TENURE,18.493799627077212,1.7045793995849402e-05
121,K2Q30C,17.100534252423074,3.545233068661872e-05
22,K7Q31,16.96124937584764,3.815058662145424e-05
1,TOTKIDS_R,16.722417897786087,4.326670541053129e-05
80,K7Q33,15.926185224712249,6.586121219011698e-05
89,SC_RACE_R,15.848147034789559,6.86337092156062e-05
49,A2_GRADE,14.461222082419358,0.0001430748490536228
123,K2Q40A,12.977607188886745,0.00031523858256356116
44,A1_SEX,12.038746678489074,0.0005210599463831958
63,K10Q40_R,11.95506026408745,0.000544991648026426
0,EYEDOCTOR,11.939199063385175,0.0005496510421390791
87,TOTAGE_12_17,11.1315566402524,0.0008487133599514542
27,K11Q61,10.119046727964193,0.0014674487843432157
36,ACE5,9.717635002990617,0.0018250822014329606
45,A2_SEX,9.58262985788793,0.0019642684444552616
24,K7Q37,8.961403685452144,0.0027574295145606498
37,ACE6,8.590321673323658,0.0033795430351776326
107,ALLERGIES_DESC,8.263910308584057,0.0040440927453033754
120,K2Q37C,7.761707308232552,0.005336549213033144
136,K2Q34B,7.518029147981762,0.006108447615270207
113,K2Q33C,7.072670064557876,0.007826853148661031
47,A1_GRADE,6.789836491174903,0.009167830513609384
38,ACE7,6.750672590696377,0.009371235152893348
28,K10Q11,6.665850318117938,0.009827775258459535
18,VISIONEXAMREC,5.938520340000426,0.014813449855514414
17,OVERWEIGHT,5.839332842954359,0.01567176788745765
16,K2Q05,5.811893026999136,0.015918150211848038
114,K2Q32C,5.114996584577227,0.023719912976610844
127,HEADACHE,3.892996472274927,0.04848784033635303
15,CONCUSSION,3.454008601262813,0.06309856435350994
122,K2Q35C,3.0681032198903893,0.07984258017400521
99,HIGRADE_TVIS,2.905270557098968,0.08829043708445433
138,K2Q60A,2.6320791752346553,0.1047244943514494
48,A2_EMPLOYED,2.477444666405315,0.11548975057970999
118,K2Q36C,1.8880646866783541,0.16942036738054303
108,K2Q40C,1.7115240523570685,0.19078775184814067
35,ACE4,1.6440766854540885,0.1997670470854374
30,K10Q13,1.4172175098776094,0.23386193073413453
12,DRESSING,1.3851393908002656,0.2392276582596909
29,K10Q12,1.3219544265653773,0.25024159325248757
42,ACE12,1.1776382696007224,0.277837321860152
84,MPC_YN,1.0775534823267856,0.2992455040505595
41,ACE10,1.0277729183657283,0.3106823196507534
20,ISSUECOST,0.8922245330755596,0.34487519170819514
112,K2Q38C,0.8004199189489548,0.37096785031650303
125,K2Q42A,0.5422124241814305,0.46151726974026575
126,HEART,0.5036737040882023,0.4778903607990055
31,K10Q14,0.4961439136488024,0.4811993709838187
33,K10Q23,0.3808331310190182,0.5371576956957718
128,K2Q38A,0.3480516887024185,0.5552180992394258
25,K7Q38,0.3224353788268405,0.5701477342119929
111,HEADACHE_DESC,0.27792265139389616,0.5980660282490149
14,BLINDNESS,0.2565852768633332,0.6124758811931177
13,K2Q43B,0.2516691050384638,0.6159022537430918
32,K10Q20,0.2315091753576225,0.6304070486721978
109,K2Q42C,0.1684288701066907,0.6815119117522075
26,K8Q35,0.13983338690806874,0.7084467044356406
11,WALKSTAIRS,0.12123943213761781,0.727694093966855
110,HEART_DESC,0.059401655174895304,0.8074441602175223
119,K2Q60C,0.058412514906576674,0.8090228494704372
115,CYSTFIB_DESC,0.05283299327512538,0.8182049989058426
74,K4Q30_R_3,0.047240666937024986,0.8279362313313687
124,K2Q41A,0.03438291515331243,0.8528946765534727
132,BLOOD,0.015492557864116931,0.9009438615124112
92,SC_K2Q17,0.007909916338797982,0.9291314136872479
131,DOWNSYN,0.003997726331270745,0.9495852864574119
133,CYSTFIB,0.00271895265630329,0.9584142904895204
116,GENETIC_DESC,0.0015940759907514357,0.9681522173248561
